citta,cambi,metodo,parametro,probabilita,errore,secondi,quota_tetto,modello_ritardo
roma,2,montecarlo,10000,0.3696,0.0003949999999999787,0.015220000000226719,0.0045,sintetico
roma,2,montecarlo,100000,0.36685,0.002354999999999996,0.09634050000022398,0.00391,sintetico
roma,1,convoluzione,5,0.8729596898113273,0.004424689811327376,0.058537999999316526,2.737448693300804e-07,sintetico
roma,1,convoluzione,10,0.8729596898113274,0.004424689811327487,0.05577400000038324,2.737448693300804e-07,sintetico
roma,1,convoluzione,30,0.8452691820859823,0.023265817914017606,0.054792599999927916,3.0334966270484017e-07,sintetico
roma,1,convoluzione,60,0.7939312334285509,0.07460376657144907,0.05257009999968432,3.6063562836918725e-07,sintetico
roma,1,montecarlo,100,0.87,0.0014650000000000496,0.0014845999994577141,0.0,sintetico
roma,1,montecarlo,1000,0.882,0.01346500000000006,0.0032690999996702885,0.0,sintetico
roma,1,montecarlo,10000,0.868,0.0005349999999999522,0.011174999999639113,0.0,sintetico
roma,1,montecarlo,100000,0.86713,0.0014049999999999896,0.07494070000029751,0.0,sintetico
roma,2,convoluzione,5,0.28915639832245943,0.012113601677540553,0.10073619999911898,0.07481416056834736,sintetico
roma,2,convoluzione,10,0.2891563983224594,0.012113601677540609,0.10093090000009397,0.07481416056834737,sintetico
roma,2,convoluzione,30,0.24465722005650364,0.05661277994349634,0.09638960000029329,0.08206067507186061,sintetico
roma,2,convoluzione,60,0.1803651998704775,0.12090480012952248,0.09259730000030686,0.09491515979887387,sintetico
roma,2,montecarlo,100,0.27,0.031269999999999964,0.0028783999996448983,0.08,sintetico
roma,2,montecarlo,1000,0.298,0.003269999999999995,0.008324399999764864,0.06,sintetico
roma,2,montecarlo,10000,0.2973,0.0039699999999999736,0.02573759999995673,0.074,sintetico
roma,2,montecarlo,100000,0.30315,0.0018799999999999928,0.1617099999994025,0.07364,sintetico
roma,0,convoluzione,5,0.999738196071299,4.1803928701011905e-05,0.016491700000187848,0.0,sintetico
roma,0,convoluzione,10,0.999738196071299,4.1803928701011905e-05,0.014779799999814713,0.0,sintetico
roma,0,convoluzione,30,0.9996986648049289,8.133519507114162e-05,0.014157699999486795,0.0,sintetico
roma,0,convoluzione,60,0.9996986648049281,8.133519507191878e-05,0.014166300000397314,0.0,sintetico
roma,0,montecarlo,100,1.0,0.00021999999999999797,0.000549700000192388,0.0,sintetico
roma,0,montecarlo,1000,1.0,0.00021999999999999797,0.0009310999994340818,0.0,sintetico
roma,0,montecarlo,10000,0.9996,0.00017999999999995797,0.0032191000000239,0.0,sintetico
roma,0,montecarlo,100000,0.99969,9.00000000000345e-05,0.022298400000181573,0.0,sintetico
roma,2,convoluzione,5,0.4907382264275184,0.006291773572481618,0.106863500000145,1.6299555302751084e-06,sintetico
roma,2,convoluzione,10,0.49073822642751835,0.006291773572481674,0.09831369999938033,1.6299555302751082e-06,sintetico
roma,2,convoluzione,30,0.478150436252933,0.018879563747067007,0.09383559999969293,1.990444062442698e-06,sintetico
roma,2,convoluzione,60,0.44749603206236566,0.04953396793763437,0.09478219999982684,2.654340478526076e-06,sintetico
roma,2,montecarlo,100,0.48,0.017030000000000045,0.0024680000005901093,0.0,sintetico
roma,2,montecarlo,1000,0.485,0.01203000000000004,0.006974400000217429,0.0,sintetico
roma,2,montecarlo,10000,0.4923,0.004730000000000012,0.02141879999999219,0.0,sintetico
roma,2,montecarlo,100000,0.49502,0.0020100000000000118,0.12333959999978106,0.0,sintetico
roma,3,convoluzione,5,0.21919148749400139,0.00463351250599861,0.13216529999954219,0.3890325802605067,sintetico
roma,3,convoluzione,10,0.2092859074475252,0.014539092552474792,0.12316430000009859,0.3983777882288464,sintetico
roma,3,convoluzione,30,0.18126508195874097,0.042559918041259026,0.1322647999995752,0.42173987084024545,sintetico
roma,3,convoluzione,60,0.1426949575825017,0.0811300424174983,0.12236810000013065,0.4566072179971993,sintetico
