citta,coppia,origine,destinazione,margine_secondi,scadenza,strategia,probabilita,arrivo_programmato,cambi,coincide_con_robusto,ampiezza_frontiera,candidati,modello_ritardo
roma,4,71581,75497,1200,1787729662,piu_veloce,0.30022347282666095,1787728462,2,False,0.8161744849915187,8,sintetico
roma,4,71581,75497,1200,1787729662,meno_cambi,0.9635548985668785,1787728554,1,True,0.8161744849915187,8,sintetico
roma,4,71581,75497,1200,1787729662,margine_fisso,0.0,1787730010,1,False,0.8161744849915187,8,sintetico
roma,4,71581,75497,1200,1787729662,robusto,0.9635548985668785,1787728554,1,True,0.8161744849915187,8,sintetico
roma,4,71581,75497,1800,1787730262,piu_veloce,0.5528696004760042,1787728462,2,False,0.8849829848016406,8,sintetico
roma,4,71581,75497,1800,1787730262,meno_cambi,0.9960673457611412,1787728554,1,True,0.8849829848016406,8,sintetico
roma,4,71581,75497,1800,1787730262,margine_fisso,0.111970382105473,1787730010,1,False,0.8849829848016406,8,sintetico
roma,4,71581,75497,1800,1787730262,robusto,0.9960673457611412,1787728554,1,True,0.8849829848016406,8,sintetico
roma,5,72174,71265,0,1787727652,piu_veloce,0.08507692256545571,1787727652,1,True,0.0827983579433883,5,sintetico
roma,5,72174,71265,0,1787727652,meno_cambi,0.03890708193173656,1787727672,0,False,0.0827983579433883,5,sintetico
roma,5,72174,71265,0,1787727652,margine_fisso,0.03890708193173656,1787727672,0,False,0.0827983579433883,5,sintetico
roma,5,72174,71265,0,1787727652,robusto,0.08507692256545571,1787727652,1,True,0.0827983579433883,5,sintetico
roma,5,72174,71265,300,1787727952,piu_veloce,0.6985418504131655,1787727652,1,False,0.9133229983707787,5,sintetico
roma,5,72174,71265,300,1787727952,meno_cambi,0.9680211942491144,1787727672,0,True,0.9133229983707787,5,sintetico
roma,5,72174,71265,300,1787727952,margine_fisso,0.9680211942491144,1787727672,0,True,0.9133229983707787,5,sintetico
roma,5,72174,71265,300,1787727952,robusto,0.9680211942491144,1787727672,0,True,0.9133229983707787,5,sintetico
roma,5,72174,71265,600,1787728252,piu_veloce,0.8729596898113274,1787727652,1,False,0.8706820567609627,5,sintetico
roma,5,72174,71265,600,1787728252,meno_cambi,0.9996528938286484,1787727672,0,True,0.8706820567609627,5,sintetico
roma,5,72174,71265,600,1787728252,margine_fisso,0.9996528938286484,1787727672,0,True,0.8706820567609627,5,sintetico
roma,5,72174,71265,600,1787728252,robusto,0.9996528938286484,1787727672,0,True,0.8706820567609627,5,sintetico
roma,5,72174,71265,900,1787728552,piu_veloce,0.9682147457663588,1787727652,1,False,0.5920987976020824,5,sintetico
roma,5,72174,71265,900,1787728552,meno_cambi,0.9999929121854613,1787727672,0,True,0.5920987976020824,5,sintetico
roma,5,72174,71265,900,1787728552,margine_fisso,0.9999929121854613,1787727672,0,True,0.5920987976020824,5,sintetico
roma,5,72174,71265,900,1787728552,robusto,0.9999929121854613,1787727672,0,True,0.5920987976020824,5,sintetico
roma,5,72174,71265,1200,1787728852,piu_veloce,0.991161290546905,1787727652,1,False,0.3985440872852316,5,sintetico
roma,5,72174,71265,1200,1787728852,meno_cambi,0.9999997067950156,1787727672,0,True,0.3985440872852316,5,sintetico
roma,5,72174,71265,1200,1787728852,margine_fisso,0.9999997067950156,1787727672,0,True,0.3985440872852316,5,sintetico
roma,5,72174,71265,1200,1787728852,robusto,0.9999997067950156,1787727672,0,True,0.3985440872852316,5,sintetico
