citta,coppia,origine,destinazione,variante,ammissibile,velocita_m_s,tipo_velocita,trovato,minuti_arrivo,cambi,espansi,secondi,ottimo,pareto_soluzioni
torino,25,3698,3482,dijkstra,True,,nessuna,True,51.0,4.0,16928,0.25598249999984546,True,
torino,25,3698,3482,astar_cambi_proiettati,True,139.12304705627398,massimo,True,51.0,4.0,5112,0.14544690000002447,True,
torino,25,3698,3482,astar_p999,False,22.786617056893437,p99.9,True,51.0,4.0,13935,0.4248848000001999,True,
torino,25,3698,3482,pareto,True,,nessuna,True,51.0,,59777,1.0546288000000459,,5.0
torino,26,2107,4797,astar_ammissibile,True,139.12304705627398,massimo,False,,,59038,0.7598481999998512,,
torino,26,2107,4797,dijkstra,True,,nessuna,False,,,59038,0.484932000000299,,
torino,26,2107,4797,astar_cambi_proiettati,True,139.12304705627398,massimo,False,,,20643,0.22127929999987828,,
torino,26,2107,4797,astar_p999,False,22.786617056893437,p99.9,False,,,59038,0.7336154999998143,,
torino,26,2107,4797,pareto,True,,nessuna,False,,,46296,0.9846956000001228,,0.0
torino,27,1461,741,astar_ammissibile,True,139.12304705627398,massimo,True,61.0,3.0,16963,0.41762500000004366,True,
torino,27,1461,741,dijkstra,True,,nessuna,True,61.0,3.0,17482,0.23038799999994808,True,
torino,27,1461,741,astar_cambi_proiettati,True,139.12304705627398,massimo,True,61.0,3.0,5639,0.11978600000020379,True,
torino,27,1461,741,astar_p999,False,22.786617056893437,p99.9,True,61.0,3.0,14623,0.4008262000002105,True,
torino,27,1461,741,pareto,True,,nessuna,True,61.0,,46625,1.069787500000075,,7.0
torino,28,8123,3518,astar_ammissibile,True,139.12304705627398,massimo,True,50.46666666666667,2.0,2340,0.05189360000031229,True,
torino,28,8123,3518,dijkstra,True,,nessuna,True,50.46666666666667,2.0,2387,0.026633599999968283,True,
torino,28,8123,3518,astar_cambi_proiettati,True,139.12304705627398,massimo,True,50.46666666666667,2.0,671,0.015321899999889865,True,
torino,28,8123,3518,astar_p999,False,22.786617056893437,p99.9,True,50.46666666666667,2.0,2127,0.04865160000008473,True,
torino,28,8123,3518,pareto,True,,nessuna,True,50.46666666666667,,8103,0.11509019999994052,,6.0
torino,29,2222,1510,astar_ammissibile,True,139.12304705627398,massimo,False,,,23024,0.2737065999999686,,
torino,29,2222,1510,dijkstra,True,,nessuna,False,,,23024,0.1797236000002158,,
torino,29,2222,1510,astar_cambi_proiettati,True,139.12304705627398,massimo,False,,,8430,0.09324080000033064,,
torino,29,2222,1510,astar_p999,False,22.786617056893437,p99.9,False,,,23024,0.2769306999998662,,
torino,29,2222,1510,pareto,True,,nessuna,False,,,20488,0.4871588000000884,,0.0
torino,30,3515,72,astar_ammissibile,True,139.12304705627398,massimo,True,49.45,4.0,16086,0.49676080000017464,True,
torino,30,3515,72,dijkstra,True,,nessuna,True,49.45,4.0,16662,0.24737580000009984,True,
torino,30,3515,72,astar_cambi_proiettati,True,139.12304705627398,massimo,True,57.68333333333333,3.0,6891,0.14211799999975483,False,
torino,30,3515,72,astar_p999,False,22.786617056893437,p99.9,True,49.45,4.0,13459,0.4214868999997634,True,
torino,30,3515,72,pareto,True,,nessuna,True,49.45,,61052,1.3806190000000242,,7.0
torino,31,1646,2245,astar_ammissibile,True,139.12304705627398,massimo,False,,,47560,0.5959554000000935,,
torino,31,1646,2245,dijkstra,True,,nessuna,False,,,47560,0.4387772000000041,,
torino,31,1646,2245,astar_cambi_proiettati,True,139.12304705627398,massimo,False,,,13767,0.1589493000001312,,
torino,31,1646,2245,astar_p999,False,22.786617056893437,p99.9,False,,,47560,0.6198945999999523,,
torino,31,1646,2245,pareto,True,,nessuna,False,,,39904,0.9049184000000423,,0.0
torino,32,2520,3462,astar_ammissibile,True,139.12304705627398,massimo,True,64.96666666666667,3.0,8352,0.19625859999996464,True,
